TreeID,qSpecies,qSiteInfo,Latitude,Longitude
221794,Agonis flexuosa :: Peppermint Willow,Sidewalk: Curb side : Cutout,37.74643123,-122.409587
219384,Juniperus chinensis :: Juniper,Sidewalk: Property side : Yard,37.73302565,-122.4450998
110156,Ginkgo biloba :: Maidenhair Tree,Sidewalk: Curb side : Cutout,37.79683937,-122.4142918
116000,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.7948974,-122.4147282
26475,Myoporum laetum :: Myoporum,Sidewalk: Curb side : Cutout,37.74307103,-122.4380123
103289,Fraxinus uhdei :: Shamel Ash: Evergreen Ash,Sidewalk: Curb side : Cutout,37.80572138,-122.4057672
220542,Aesculus californica :: California Buckeye,Sidewalk: Curb side : Cutout,37.750928,-122.4252181
241998,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.7536703,-122.411132
244463,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.77309617,-122.4322512
115134,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.78724942,-122.3889664
16957,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.77398518,-122.4301281
179052,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,Sidewalk: Curb side : Cutout,37.72733098,-122.4398464
67486,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.75926202,-122.3990347
92244,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.75896284,-122.4907049
15201,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.77888219,-122.4114764
196409,Prunus serrulata :: Ornamental Cherry,Sidewalk: Curb side : Pot,37.77712402,-122.4103166
128991,Ginkgo biloba :: Maidenhair Tree,Sidewalk: Curb side : Cutout,37.79683373,-122.4143807
103181,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,Sidewalk: Curb side : Cutout,37.78006627,-122.4321233
250909,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Yard,37.78402696,-122.4893957
177127,Ligustrum lucidum :: Glossy Privet,Sidewalk: Curb side : Cutout,37.72849929,-122.418259
191520,Liquidambar styraciflua :: American Sweet Gum,Sidewalk: Curb side : Cutout,37.7580217,-122.3891656
136409,Schinus terebinthifolius :: Brazilian Pepper,Sidewalk: Curb side : Cutout,37.80568378,-122.4212235
1509,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.78454089,-122.4587286
120100,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.78558961,-122.4868639
239145,Pyrus calleryana 'Chanticleer' :: Ornamental Pear Tree 'Chanticleer',Sidewalk: Property side : Yard,37.77179673,-122.4231198
202410,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.78838258,-122.3925036
22038,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.75340073,-122.3876708
93324,Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,Sidewalk: Curb side : Cutout,37.77931477,-122.4437504
68331,Acacia melanoxylon :: Blackwood Acacia,Sidewalk: Curb side : Cutout,37.77874487,-122.4734554
113138,Olea europaea :: Olive Tree,Sidewalk: Curb side : Cutout,37.75427133,-122.4778577
200332,Liquidambar styraciflua 'Rotundiloba' :: Roundleaf sweetgum,Sidewalk: Curb side : Cutout,37.77491091,-122.4032472
13332,Ceratonia siliqua :: Carob,Sidewalk: Curb side : Cutout,37.72094108,-122.4026971
190736,Jacaranda mimosifolia :: Jacaranda,Sidewalk: Curb side : Cutout,37.76777212,-122.4068376
21698,Ficus nitida :: Laurel Fig,Sidewalk: Curb side : Cutout,37.78639315,-122.4313973
95145,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.78137546,-122.4596769
57164,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.79116984,-122.4443019
214907,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.7311353,-122.4688466
10479,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.769751,-122.4494797
126869,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.79081471,-122.4493157
207998,Ligustrum lucidum :: Glossy Privet,Sidewalk: Property side : Yard,37.73229551,-122.4441371
230356,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,Sidewalk: Curb side : Cutout,37.73969841,-122.4264403
204003,Acacia melanoxylon :: Blackwood Acacia,Sidewalk: Curb side : Yard,37.73981349,-122.464396
233766,Olea europaea :: Olive Tree,Sidewalk: Curb side : Cutout,37.76785227,-122.4322709
31815,Ginkgo biloba :: Maidenhair Tree,Sidewalk: Curb side : Cutout,37.7697757,-122.435117
193450,Malus :: Crab Apple,Sidewalk: Property side : Yard,37.76229271,-122.4027274
175750,Callistemon citrinus :: Lemon Bottlebrush,Sidewalk: Curb side : Yard,37.70922992,-122.4320202
136801,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',Sidewalk: Curb side : Cutout,37.78893725,-122.4439304
1562,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.78004905,-122.4588994
102619,Ficus nitida :: Laurel Fig,Sidewalk: Curb side : Cutout,37.80473794,-122.4097963
237965,Prunus lyonii :: Catalina Cherry,Sidewalk: Curb side : Cutout,37.75005094,-122.4404679
102263,Laurus nobilis :: Sweet Bay: Grecian Laurel,Sidewalk: Curb side : Cutout,37.78915741,-122.4373464
215381,Tibochina urvilleana :: Princess Flower,Sidewalk: Property side : Yard,37.71828593,-122.4609311
63002,Magnolia grandiflora :: Southern Magnolia,Sidewalk: Curb side : Cutout,37.76335092,-122.5019086
183278,Leptospermum laevigatum :: Australian Tea Tree,Sidewalk: Curb side : Yard,37.76316568,-122.5018945
132378,Pittosporum eugenioides :: Tarata,Sidewalk: Property side : Yard,37.79352441,-122.41556
13911,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.78097423,-122.4116357
205636,Betula spp :: Birch,Sidewalk: Curb side : Yard,37.76291746,-122.4543034
129971,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.78486671,-122.4111954
7073,Tristania conferta ::,Sidewalk: Curb side : Cutout,37.77315247,-122.4452643
237489,Prunus cerasifera :: Cherry Plum,Sidewalk: Curb side : Cutout,37.75350724,-122.4321583
220966,Callistemon citrinus :: Lemon Bottlebrush,Sidewalk: Curb side : Cutout,37.74960846,-122.4212829
256115,Arbutus 'Marina' :: Hybrid Strawberry Tree,Sidewalk: Curb side : Cutout,37.73711377,-122.4152742
8671,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.78220247,-122.4504931
125248,Acacia melanoxylon :: Blackwood Acacia,Sidewalk: Curb side : Cutout,37.7967704,-122.4148391
130799,Magnolia grandiflora :: Southern Magnolia,Sidewalk: Curb side : Yard,37.79334342,-122.4363424
214981,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.74205447,-122.4533484
222764,Cedrus deodara :: Deodar Cedar,Sidewalk: Curb side : Cutout,37.76169853,-122.4425813
177954,Olea europaea :: Olive Tree,Sidewalk: Curb side : Yard,37.71692788,-122.4785584
16032,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,Sidewalk: Curb side : Cutout,37.73289796,-122.4654148
56411,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.78564138,-122.4775333
225353,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.77194267,-122.4199675
72939,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.78893169,-122.445781
241653,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.76407346,-122.4227089
191477,Ligustrum lucidum :: Glossy Privet,Sidewalk: Curb side : Cutout,37.78166945,-122.3934997
223451,Eriobotrya deflexa :: Bronze Loquat,Sidewalk: Curb side : Cutout,37.76312175,-122.4497318
86439,Prunus serrulata :: Ornamental Cherry,Sidewalk: Curb side : Cutout,37.73986094,-122.4839842
235870,Prunus cerasifera :: Cherry Plum,Sidewalk: Curb side : Cutout,37.76124092,-122.4089886
126903,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.79018763,-122.4474717
26766,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.78926544,-122.422703
207171,Leptospermum scoparium :: New Zealand Tea Tree,Sidewalk: Curb side : Cutout,37.73460544,-122.4450477
188262,Callistemon citrinus :: Lemon Bottlebrush,Sidewalk: Curb side : Cutout,37.73400042,-122.3824893
86159,Arbutus 'Marina' :: Hybrid Strawberry Tree,Sidewalk: Curb side : Cutout,37.7644623,-122.4826285
100547,Rhaphiolepis indica :: India Hawthorn,Sidewalk: Curb side : Cutout,37.7583051,-122.4437352
193602,Melaleuca quinquenervia :: Cajeput,Sidewalk: Property side : Yard,37.75194962,-122.3995894
183038,Olea europaea :: Olive Tree,Sidewalk: Curb side : Cutout,37.73997035,-122.4777017
192141,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.77859678,-122.4105859
141185,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.78268237,-122.4368343
184360,Myoporum laetum :: Myoporum,Sidewalk: Curb side : Cutout,37.75981326,-122.5094026
202002,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.72303938,-122.3981014
220483,Acer rubrum :: Red Maple,Sidewalk: Curb side : Cutout,37.75239545,-122.4146973
37189,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.75957389,-122.488576
123284,Eucalyptus sideroxylon :: Red Ironbark,Sidewalk: Curb side : Cutout,37.78015199,-122.4641458
133580,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.791052,-122.451467
205353,Cordyline australis :: Dracena Palm,Sidewalk: Curb side : Cutout,37.74006632,-122.4685339
217857,Prunus cerasifera :: Cherry Plum,Sidewalk: Curb side : Cutout,37.76346939,-122.4542067
212485,Prunus cerasifera :: Cherry Plum,Sidewalk: Curb side : Yard,37.74785568,-122.4625385
209652,Maytenus boaria :: Mayten,Sidewalk: Curb side : Cutout,37.75653473,-122.4686951
70682,Jacaranda mimosifolia :: Jacaranda,Sidewalk: Curb side : Cutout,37.76420603,-122.4064976
222948,Corymbia ficifolia :: Red Flowering Gum,Sidewalk: Curb side : Cutout,37.77007285,-122.4309194
226320,Jacaranda mimosifolia :: Jacaranda,Sidewalk: Curb side : Cutout,37.75231593,-122.4108646
120030,Pittosporum undulatum :: Victorian Box,Sidewalk: Property side : Yard,37.77248638,-122.4882967
244289,Pyrus calleryana :: Ornamental Pear,Sidewalk: Curb side : Cutout,37.77404386,-122.4241938
72442,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.78959419,-122.4102896
113643,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.77527096,-122.4159838
250424,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Yard,37.78895714,-122.4859748
193155,Magnolia grandiflora :: Southern Magnolia,Sidewalk: Curb side : Cutout,37.78696711,-122.3958714
242652,Ulmus parvifolia :: Chinese Elm,Sidewalk: Curb side : Cutout,37.7557398,-122.414754
227553,Lagunaria patersonii :: Primrose Tree,Sidewalk: Curb side : Cutout,37.76057274,-122.4391732
184374,Pittosporum crassifolium :: Karo Tree,Sidewalk: Curb side : Cutout,37.74391061,-122.5036118
5026,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.74277322,-122.436671
225318,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.76973265,-122.4300587
226781,Jacaranda mimosifolia :: Jacaranda,Sidewalk: Curb side : Cutout,37.76165652,-122.4307285
222922,Ceratonia siliqua :: Carob,Sidewalk: Curb side : Cutout,37.76556263,-122.4476434
184542,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.75497106,-122.4991718
193286,Magnolia grandiflora :: Southern Magnolia,Sidewalk: Curb side : Cutout,37.7323563,-122.3801837
22459,Olea europaea :: Olive Tree,Sidewalk: Curb side : Cutout,37.72346338,-122.3953133
138667,Magnolia grandiflora :: Southern Magnolia,Sidewalk: Curb side : Pot,37.7868166,-122.4453794
185187,Pittosporum crassifolium :: Karo Tree,Sidewalk: Property side : Yard,37.73946963,-122.4939996
